dv,family,A,B,mean_A,mean_B,n_A,n_B,diff,se,ci_lo,ci_hi,z,p_raw,d,d_lo,d_hi,direction,p_holm,p_bh
OH1,clip-level,H3,HA3,5.758333333333333,5.788617886178862,40,41,-0.03028455284552757,0.18716879071645165,-0.3971353826497728,0.33656627695871766,-0.1618034327710471,0.8714606497067492,-0.038965554058334434,-0.4745956329624972,0.39666452484582826,—,1.0,0.9735163269576531
OH1,clip-level,H3,A,5.758333333333333,5.518518518518516,40,36,0.23981481481481748,0.19348103373985284,-0.13940801131529407,0.619037640944929,1.2394745375263152,0.21516981267458957,0.26810504000133606,-0.18418667054566912,0.7203967505483413,—,1.0,0.9037132132332762
OH1,clip-level,HA1,HA2,5.815789473684211,5.777777777777778,38,39,0.038011695906432635,0.19197032925547208,-0.33825014943429266,0.4142735412471579,0.1980081820657143,0.8430386621142824,0.04830021851536984,-0.3985280443247154,0.4951284813554551,—,1.0,0.9735163269576531
OH1,clip-level,HA1,HA3,5.815789473684211,5.788617886178862,38,41,0.02717158750534859,0.18964555500555552,-0.3445337003055402,0.3988768753162374,0.14327563598605103,0.8860724969620765,0.03608583713374913,-0.4053028341177156,0.4774745083852139,—,1.0,0.9735163269576531
OH1,clip-level,HA1,A,5.815789473684211,5.518518518518516,38,36,0.29727095516569363,0.19587799961238214,-0.08664992407457534,0.6811918344059626,1.5176331990011915,0.129106892732086,0.3396839353505867,-0.11944662657957222,0.7988144972807456,—,1.0,0.9037132132332762
OH1,clip-level,HA2,HA3,5.777777777777778,5.788617886178862,39,41,-0.010840108401084049,0.18837948732164836,-0.38006390355151487,0.35838368674934673,-0.057543995661136486,0.9541118606782658,-0.014146836146845448,-0.4525586633947595,0.4242649911010685,—,1.0,0.9735163269576531
OH1,clip-level,HA2,A,5.777777777777778,5.518518518518516,39,36,0.25925925925926097,0.19465247350688938,-0.1222595888142422,0.6407781073327641,1.3319083728472885,0.18289029935877854,0.29267068570015753,-0.1627493246352807,0.7480906960355957,—,1.0,0.9037132132332762
OH1,clip-level,HA3,A,5.788617886178862,5.518518518518516,41,36,0.27009936766034504,0.19236011712738454,-0.10692646190932864,0.6471251972300187,1.4041339321990538,0.16027897094744947,0.31688358527847144,-0.13357570817556086,0.7673428787325037,—,1.0,0.9037132132332762
OH2,clip-level,H1,H2,5.863247863247863,5.76923076923077,39,39,0.09401709401720641,0.1938404290156594,-0.285910146853486,0.47394433488789883,0.48502314246122125,0.6276599294622016,0.10806312165790992,-0.33611330447590304,0.5522395477917229,—,1.0,0.9680826095017809
OH2,clip-level,H1,H3,5.863247863247863,5.7666666666666675,39,40,0.0965811965813096,0.1926251165397771,-0.2809640318366535,0.4741264249992727,0.5013946172557698,0.6160934273068475,0.1100411985251214,-0.3313622257914143,0.5514446228416571,—,1.0,0.9680826095017809
OH2,clip-level,H1,HA1,5.863247863247863,5.850877192982456,39,38,0.012370670265518621,0.19511152741563323,-0.37004792346912246,0.39478926400015973,0.06340307222938293,0.9494455408903276,0.014192474986394957,-0.4325762858020399,0.46096123577482984,—,1.0,0.98937938380946
